,LOCAL_DATE,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,NORM_MEAN_TEMP,TOTAL_PRECIPITATION,NORM_TOTAL_PRECIPITATION,FROST_TEMP,MIN_TEMP,MAX_TEMP,MEAN_HUMIDITY,NORM_MEAN_HUMIDITY
0,2018-1-1,1,1,-17.9,2.45945945945946,0.0,0.5,True,-32.2,-3.6,56.0,0.376
1,2018-1-2,1,2,-5.4,4.6312741312741315,0.2,0.5038167938931297,True,-11.6,0.8,63.0,0.488
2,2018-1-3,1,3,-1.9,5.23938223938224,0.0,0.5,True,-10.1,6.4,56.5,0.384
3,2018-1-4,1,4,-4.0,4.874517374517375,0.8,0.5152671755725191,True,-12.0,4.0,70.5,0.608
4,2018-1-5,1,5,-1.4,5.326254826254827,0.2,0.5038167938931297,True,-12.4,9.6,89.0,0.904
5,2018-1-6,1,6,2.0,5.916988416988417,0.0,0.5,False,-4.0,7.9,77.5,0.72
6,2018-1-7,1,7,-2.5,5.135135135135136,0.2,0.5038167938931297,True,-8.6,3.7,66.5,0.544
7,2018-1-8,1,8,1.3,5.795366795366797,0.0,0.5,False,-6.2,8.8,65.5,0.528
8,2018-1-9,1,9,-10.0,3.8320463320463323,1.0,0.5190839694656488,True,-18.1,-1.8,69.5,0.592
9,2018-1-10,1,10,-22.3,1.6949806949806958,1.3,0.5248091603053435,True,-26.6,-18.0,70.0,0.6
10,2018-1-11,1,11,-26.3,1.0,0.2,0.5038167938931297,True,-29.5,-23.1,71.5,0.624
11,2018-1-12,1,12,-21.2,1.8861003861003867,0.0,0.5,True,-25.6,-16.7,76.5,0.704
12,2018-1-13,1,13,-7.6,4.24903474903475,0.6,0.5114503816793893,True,-17.1,1.9,70.0,0.6
13,2018-1-14,1,14,-3.1,5.030888030888032,1.7,0.5324427480916031,True,-8.8,2.7,69.5,0.592
14,2018-1-15,1,15,-8.1,4.162162162162163,0.0,0.5,True,-10.4,-5.7,67.0,0.552
15,2018-1-16,1,16,-1.1,5.378378378378379,0.2,0.5038167938931297,True,-11.1,9.0,72.0,0.632
16,2018-1-17,1,17,0.3,5.621621621621621,0.0,0.5,False,-4.2,4.7,73.5,0.656
17,2018-1-18,1,18,0.7,5.691119691119692,0.5,0.5095419847328244,False,-5.8,7.1,71.0,0.616
18,2018-1-19,1,19,-1.2,5.361003861003862,0.3,0.5057251908396947,True,-6.0,3.6,76.0,0.696
19,2018-1-20,1,20,-1.5,5.308880308880309,0.0,0.5,True,-6.8,3.8,74.5,0.672
20,2018-1-21,1,21,-1.9,5.23938223938224,0.0,0.5,True,-8.2,4.4,74.5,0.672
21,2018-1-22,1,22,-1.6,5.2915057915057915,0.8,0.5152671755725191,True,-7.3,4.1,70.0,0.6
22,2018-1-23,1,23,-3.9,4.891891891891893,0.0,0.5,True,-10.6,2.8,65.0,0.52
23,2018-1-24,1,24,-2.1,5.204633204633205,0.0,0.5,True,-9.6,5.5,78.0,0.728
24,2018-1-25,1,25,-8.5,4.0926640926640925,0.0,0.5,True,-11.3,-5.7,68.0,0.568
25,2018-1-26,1,26,-11.9,3.5019305019305023,0.0,0.5,True,-14.6,-9.1,55.0,0.36
26,2018-1-27,1,27,-17.5,2.5289575289575295,1.2,0.5229007633587787,True,-20.7,-14.2,70.0,0.6
27,2018-1-28,1,28,-17.7,2.494208494208495,0.2,0.5038167938931297,True,-20.4,-15.0,69.0,0.584
28,2018-1-29,1,29,-4.9,4.718146718146719,0.2,0.5038167938931297,True,-17.6,7.9,71.5,0.624
29,2018-1-30,1,30,0.1,5.5868725868725875,0.0,0.5,False,-6.6,6.7,60.5,0.448
30,2018-1-31,1,31,-11.5,3.5714285714285716,0.4,0.5076335877862596,True,-18.9,-4.1,48.5,0.256
31,2018-2-1,2,1,-15.5,2.876447876447877,0.2,0.5038167938931297,True,-19.2,-11.7,66.5,0.544
32,2018-2-2,2,2,-19.8,2.1293436293436296,0.0,0.5,True,-21.5,-18.0,68.5,0.576
33,2018-2-3,2,3,-21.9,1.7644787644787647,3.9,0.5744274809160306,True,-25.4,-18.3,64.0,0.504
34,2018-2-4,2,4,-17.4,2.546332046332047,2.3,0.5438931297709924,True,-26.2,-8.5,55.5,0.368
35,2018-2-5,2,5,-17.1,2.598455598455599,0.0,0.5,True,-22.0,-12.2,52.5,0.32
36,2018-2-6,2,6,-15.5,2.876447876447877,0.2,0.5038167938931297,True,-20.7,-10.2,52.5,0.32
37,2018-2-7,2,7,-12.2,3.4498069498069506,5.0,0.5954198473282443,True,-15.4,-9.0,74.5,0.672
38,2018-2-8,2,8,-21.6,1.8166023166023169,9.3,0.6774809160305344,True,-27.9,-15.2,73.5,0.656
39,2018-2-9,2,9,-21.4,1.8513513513513522,0.0,0.5,True,-31.6,-11.2,76.0,0.696
40,2018-2-10,2,10,-14.5,3.0501930501930508,0.0,0.5,True,-24.3,-4.7,61.0,0.456
41,2018-2-11,2,11,-16.8,2.650579150579151,1.3,0.5248091603053435,True,-26.5,-7.0,54.0,0.344
42,2018-2-12,2,12,-13.3,3.2586872586872593,0.2,0.5038167938931297,True,-28.9,2.4,38.0,0.088
43,2018-2-13,2,13,5.0,6.438223938223938,0.0,0.5,False,1.0,9.0,65.5,0.528
44,2018-2-14,2,14,-5.4,4.6312741312741315,0.4,0.5076335877862596,True,-14.7,4.0,71.0,0.616
45,2018-2-15,2,15,-12.3,3.4324324324324325,0.3,0.5057251908396947,True,-20.9,-3.6,54.5,0.352
46,2018-2-16,2,16,-6.2,4.492277992277993,0.0,0.5,True,-10.7,-1.7,58.0,0.408
47,2018-2-17,2,17,-12.2,3.4498069498069506,3.0,0.5572519083969466,True,-14.3,-10.1,61.0,0.456
48,2018-2-18,2,18,-18.9,2.285714285714287,0.2,0.5038167938931297,True,-23.7,-14.1,58.5,0.416
49,2018-2-19,2,19,-18.8,2.3030888030888033,0.2,0.5038167938931297,True,-24.0,-13.5,47.0,0.232
50,2018-2-20,2,20,-16.0,2.78957528957529,0.0,0.5,True,-22.1,-9.9,47.0,0.232
51,2018-2-21,2,21,-15.3,2.9111969111969116,0.0,0.5,True,-24.1,-6.5,51.0,0.296
52,2018-2-22,2,22,-11.6,3.5540540540540544,0.0,0.5,True,-18.1,-5.1,58.0,0.408
53,2018-2-23,2,23,-11.1,3.640926640926642,0.0,0.5,True,-22.1,0.0,61.5,0.464
54,2018-2-24,2,24,-4.1,4.857142857142858,0.0,0.5,True,-7.2,-1.0,73.0,0.648
