INDEX,LOCAL_DATE,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,NORM_MEAN_TEMP,TOTAL_PRECIPITATION,NORM_TOTAL_PRECIPITATION,FROST_TEMP
0,2020-01-01,1,1,-0.3,5.871559633,0,0.2,TRUE
1,2020-01-02,1,2,-3,5.425688073,1.8,0.226666667,TRUE
2,2020-01-03,1,3,-0.1,5.904587156,1.15,0.217037037,TRUE
3,2020-01-04,1,4,2.8,6.383486239,0.5,0.207407407,FALSE
4,2020-01-05,1,5,-3.9,5.27706422,0,0.2,TRUE
5,2020-01-06,1,6,-4.2,5.227522936,0,0.2,TRUE
6,2020-01-07,1,7,-9.3,4.385321101,0,0.2,TRUE
7,2020-01-08,1,8,-10.7,4.15412844,0,0.2,TRUE
8,2020-01-09,1,9,-15.7,3.328440367,0.2,0.202962963,TRUE
9,2020-01-10,1,10,-13.6,3.675229358,0,0.2,TRUE
10,2020-01-11,1,11,-15.3,3.394495413,0,0.2,TRUE
11,2020-01-12,1,12,-22.5,2.205504587,0.2,0.202962963,TRUE
12,2020-01-13,1,13,-27.6,1.363302752,0,0.2,TRUE
13,2020-01-14,1,14,-29.8,1,0,0.2,TRUE
14,2020-01-15,1,15,-29.7,1.016513761,0,0.2,TRUE
15,2020-01-16,1,16,-28.4,1.231192661,0.3,0.204444444,TRUE
16,2020-01-17,1,17,-24.9,1.809174312,0,0.2,TRUE
17,2020-01-18,1,18,-23.7,2.00733945,0,0.2,TRUE
18,2020-01-19,1,19,-8.4,4.533944954,0,0.2,TRUE
19,2020-01-20,1,20,1.9,6.234862385,0,0.2,FALSE
20,2020-01-21,1,21,-0.6,5.822018349,0,0.2,TRUE
21,2020-01-22,1,22,0.9,6.069724771,0,0.2,FALSE
22,2020-01-23,1,23,0.4,5.987155963,0,0.2,FALSE
23,2020-01-24,1,24,5.4,6.812844037,0,0.2,FALSE
24,2020-01-25,1,25,2.7,6.366972477,0,0.2,FALSE
25,2020-01-26,1,26,-2.3,5.541284404,0,0.2,TRUE
26,2020-01-27,1,27,1.1,6.102752294,0,0.2,FALSE
27,2020-01-28,1,28,-1.1,5.739449541,0,0.2,TRUE
28,2020-01-29,1,29,-1,5.755963303,0,0.2,TRUE
29,2020-01-30,1,30,1.7,6.201834862,0,0.2,FALSE
30,2020-01-31,1,31,2.3,6.300917431,0,0.2,FALSE
31,2020-02-01,2,1,3,6.416513761,5.2,0.277037037,FALSE
32,2020-02-02,2,2,-6.5,4.847706422,2.8,0.241481481,TRUE
33,2020-02-03,2,3,-9.2,4.401834862,0,0.2,TRUE
34,2020-02-04,2,4,-8.9,4.451376147,0,0.2,TRUE
35,2020-02-05,2,5,1,6.086238532,0,0.2,FALSE
36,2020-02-06,2,6,-1.3,5.706422018,0,0.2,TRUE
37,2020-02-07,2,7,-4.6,5.16146789,0,0.2,TRUE
38,2020-02-08,2,8,-6.1,4.913761468,2.4,0.235555556,TRUE
39,2020-02-09,2,9,-5,5.095412844,0.4,0.205925926,TRUE
40,2020-02-10,2,10,-3.4,5.359633028,0,0.2,TRUE
41,2020-02-11,2,11,-1.7,5.640366972,1,0.214814815,TRUE
42,2020-02-12,2,12,-10.7,4.15412844,0.6,0.208888889,TRUE
43,2020-02-13,2,13,-3,5.425688073,0,0.2,TRUE
44,2020-02-14,2,14,-3.6,5.326605505,0.5,0.207407407,TRUE
45,2020-02-15,2,15,-1.7,5.640366972,0.2,0.202962963,TRUE
46,2020-02-16,2,16,-2.4,5.524770642,0,0.2,TRUE
47,2020-02-17,2,17,-9.8,4.302752294,1.8,0.226666667,TRUE
48,2020-02-18,2,18,-12,3.939449541,0,0.2,TRUE
49,2020-02-19,2,19,-7.4,4.699082569,0,0.2,TRUE
50,2020-02-20,2,20,-1.3,5.706422018,0,0.2,TRUE
51,2020-02-21,2,21,1.6,6.185321101,0,0.2,FALSE
52,2020-02-22,2,22,0.1,5.937614679,0,0.2,FALSE
53,2020-02-23,2,23,-3.7,5.310091743,2.8,0.241481481,TRUE
54,2020-02-24,2,24,-5.2,5.062385321,0.8,0.211851852,TRUE
55,2020-02-25,2,25,-6.3,4.880733945,0,0.2,TRUE
56,2020-02-26,2,26,0.5,6.003669725,0,0.2,FALSE
